パターン,大問,講義回,トピック,概念,評価規準（Rubric）,問題作成のアイデア,理由,点数
A,第一部,2,モデルの学習,訓練と評価（ホールドアウト法）,訓練データとテストデータを分ける目的を理解している。,時系列スプリットの理解と、その理由を問う多肢選択問題を作成する。,評価に関する基礎的な理解を問えるため,2
B,第一部,4,リスク最小化と近似ターゲット,各種損失関数と対応する近似ターゲット,損失関数と近似ターゲットの対応関係を理解している。,二乗損失、絶対誤差損失、0/1損失と、それらが近似するターゲット（条件付き期待値、条件付き中央値、条件付き最頻値）の正しい組み合わせを選ばせる問題を作成する。,近似ターゲットの考え方は広く通用する基礎であるため,2
A,第一部,1,統計的学習の枠組み,経験リスク最小化（ERM）,リスクと経験リスクの違いと関係性を理解している。,リスク（期待値）が計算不可能であるため、経験リスク（標本平均）を代理目標とする、という関係性を正しく説明した選択肢を選ばせる多肢選択問題を作成する。,,2
A,第一部,2,過適合と正則化,過適合と学習曲線,過適合の現象を訓練誤差とテスト誤差の関係から説明できる。,過適合の状態（低い訓練誤差と高いテスト誤差）を正しく説明している選択肢を選ばせる多肢選択問題を作成する。,説明を受ける時に学習曲線を目にする可能性は高いため。,2
A,第一部,3,学習の哲学と枠組み,No-Free-Lunch Theorem と帰納バイアス,No-Free-Lunchの考え方と，それに伴う事前知識の役割を理解している。,,,1
B,第二部,6,確率論的多クラス分類,ソフトマックス関数,ソフトマックス関数の役割を理解している。,ソフトマックス関数がベクトルを確率分布（総和が1）に変換する役割を持つことを問う多肢選択問題を作成する。,,1
D,第一部,8,類似度に基づく予測と次元の呪い,k-最近傍法（k-NN）,k-NNと線形モデルの帰納バイアスを比較できる。,k-NNが「近くの点はラベルも似ている」というバイアス、線形モデルが「データ全体に単純な法則がある」というバイアスを持つ、という違いを問う多肢選択問題を作成する。,,2
C,第一部,8,類似度に基づく予測と次元の呪い,次元の呪い,,一般に高次元では（多次元正規分布などからサンプルした2点について）コサイン類似度の値が0に集中するという現象が知られており，そのような事象に起因して高次元データでは特徴量の間のコサイン類似度が役に立たなくなる傾向があるという「次元の呪い（の現れ方）」が知られている．しかし，現在は例えば大規模なマルチモーダルモデルによるベクトル埋め込みなどを扱う際は，コサイン類似度が用いられることが多い．これは一見矛盾しているように思われるが，なぜこの方針が機能していると考えられるか．という多肢選択問題を作成する．,,2
A,第二部,8,深層学習と表現学習,表現学習と事前学習・精密調整,画像やテキストなどの処理の性能が上がった背景に，深層モデルによる表現学習があることを理解している．,事前学習済みモデルをファインチューニングするという考え方に対する理解を確かめる多肢選択問題を作成する。,LLMのファインチューニングなど，ベンダーから提供されている機能の理解につながるため,1
A,第二部,12,生成タスクの枠組み,自己回帰型 vs. 潜在変数型,生成モデルの2つの主要アプローチを区別できる。,自己回帰型モデルと潜在変数型モデルの生成プロセスの違いを説明させ、正しい組み合わせを選ばせる多肢選択問題を作成する。,,1
C,第三部,13,大規模言語モデル（LLM）の動向,自律エージェントとツール使用,エージェントがツールを使用する仕組みを理解している。,LLMエージェントが外部ツール（例：Web検索）を使用する際、特定のフォーマットでツール呼び出しのテキストを生成し、それを外部のプログラムが解釈して実行するという仕組みを問う多肢選択問題を作成する。,,2
A,第三部,14,AIの倫理・安全・法規,AI開発と著作権,日本の著作権法におけるAI学習データの扱いを理解している。,著作権法第30条の4の基本的な内容（情報解析目的での原則許諾不要）を問う正誤問題または多肢選択問題を作成する。,,1
A,第三部,14,AIの倫理・安全・法規,アルゴリズム特許,純粋なアルゴリズムだけでは自然法則を利用していないので特許も実用新案も取れず，しかし，アルゴリズムを利用したコンピューターシステム全体についてであれば，自然法則を利用しているとして特許を取れる可能性があることを理解している．,,,


C,第二部,11,系列モデルとTransformer,Transformerとアテンション機構,BERTとGPTのアーキテクチャと目的の違いを理解している。,BERT（双方向エンコーダー）とGPT（単方向デコーダー）のアーキテクチャの違いが、それぞれの事前学習タスク（マスク言語モデル vs 次トークン予測）とどう関連しているかを問う多肢選択問題を作成する。,,2,選択済み
C,第三部,13,大規模言語モデル（LLM）の動向,自律エージェントとツール使用,エージェントが従来の予測器とどう違うかを理解している。,単純な入力→出力だけでなく、自ら計画を立てて外部ツールを使用するエージェントの枠組み（ReActなど）を問う。,,2,選択済み
D,第三部,13,アラインメントとマルチモーダル,アラインメント（RLHF, DPO）,RLHFとDPOの違いを理解している。,RLHFが報酬モデルの学習と強化学習の2段階プロセスであるのに対し、DPOが報酬モデルを介さず直接選好データで学習する1段階のプロセスであるという違いを問う多肢選択問題を作成する。,,2,選択済み
D,第三部,14,AIの倫理・安全・法規,ハルシネーションとバイアス,ハルシネーションとバイアスを区別できる。,「事実でないことを生成すること」と「データ内の偏見を反映すること」という、ハルシネーションとバイアスの根本的な違いを問う多肢選択問題を作成する。,,1,選択済み

,,3,モデル選択とハイパーパラメーター,検証データの取り置き法,訓練・検証・テストデータの役割を区別できる。,モデル選択に使われる「検証データ」と、最終評価に使われる「テストデータ」の役割の違いを問う。,,2,追加提案（難しい）
,,6,ニューラルネットワークの基礎,レイヤーと活性化関数,活性化関数がモデルに非線形性を導入する役割を理解している。,活性化関数がない場合、なぜ多層ネットワークが単層の線形モデルと等価になるのか、その理由を問う。,,1,追加提案
